timestamp,model,sales
2025-04-25T09:06:57Z,rtx3060,13
2025-04-25T09:06:57Z,rtx3070,17
2025-04-25T09:06:57Z,rtx3080,17
2025-04-25T09:06:57Z,rtx3090,14
2025-04-25T09:06:57Z,rx6700,16
2025-04-25T09:07:55Z,rtx3060,4
2025-04-25T09:07:55Z,rtx3070,13
2025-04-25T09:07:55Z,rtx3080,13
2025-04-25T09:07:55Z,rtx3090,18
2025-04-25T09:07:55Z,rx6700,12
2025-04-25T09:08:54Z,rtx3060,6
2025-04-25T09:08:54Z,rtx3070,20
2025-04-25T09:08:54Z,rtx3080,20
2025-04-25T09:08:54Z,rtx3090,17
2025-04-25T09:08:54Z,rx6700,0
2025-04-25T09:09:53Z,rtx3060,14
2025-04-25T09:09:53Z,rtx3070,7
2025-04-25T09:09:53Z,rtx3080,7
2025-04-25T09:09:53Z,rtx3090,1
2025-04-25T09:09:53Z,rx6700,14
2025-04-25T09:10:51Z,rtx3060,8
2025-04-25T09:10:51Z,rtx3070,9
2025-04-25T09:10:51Z,rtx3080,9
2025-04-25T09:10:51Z,rtx3090,12
2025-04-25T09:10:51Z,rx6700,1
2025-04-25T09:11:49Z,rtx3060,9
2025-04-25T09:11:49Z,rtx3070,6
2025-04-25T09:11:49Z,rtx3080,6
2025-04-25T09:11:49Z,rtx3090,1
2025-04-25T09:11:49Z,rx6700,4
2025-04-25T09:12:47Z,rtx3060,19
2025-04-25T09:12:47Z,rtx3070,19
2025-04-25T09:12:47Z,rtx3080,19
2025-04-25T09:12:47Z,rtx3090,0
2025-04-25T09:12:47Z,rx6700,14
2025-04-25T09:13:45Z,rtx3060,11
2025-04-25T09:13:45Z,rtx3070,0
2025-04-25T09:13:45Z,rtx3080,0
2025-04-25T09:13:45Z,rtx3090,12
2025-04-25T09:13:45Z,rx6700,4
2025-04-25T09:14:44Z,rtx3060,15
2025-04-25T09:14:44Z,rtx3070,3
2025-04-25T09:14:44Z,rtx3080,3
2025-04-25T09:14:44Z,rtx3090,13
2025-04-25T09:14:44Z,rx6700,6
2025-04-25T09:15:42Z,rtx3060,20
2025-04-25T09:15:42Z,rtx3070,4
2025-04-25T09:15:42Z,rtx3080,4
2025-04-25T09:15:42Z,rtx3090,14
2025-04-25T09:15:42Z,rx6700,19
2025-04-25T09:16:41Z,rtx3060,8
2025-04-25T09:16:41Z,rtx3070,3
2025-04-25T09:16:41Z,rtx3080,3
2025-04-25T09:16:41Z,rtx3090,19
2025-04-25T09:16:41Z,rx6700,17
2025-04-25T09:17:39Z,rtx3060,6
2025-04-25T09:17:39Z,rtx3070,20
2025-04-25T09:17:39Z,rtx3080,20
2025-04-25T09:17:39Z,rtx3090,1
2025-04-25T09:17:39Z,rx6700,7
2025-04-25T09:18:37Z,rtx3060,0
2025-04-25T09:18:37Z,rtx3070,8
2025-04-25T09:18:37Z,rtx3080,8
2025-04-25T09:18:37Z,rtx3090,12
2025-04-25T09:18:37Z,rx6700,1
2025-04-25T09:19:35Z,rtx3060,1
2025-04-25T09:19:35Z,rtx3070,2
2025-04-25T09:19:35Z,rtx3080,2
2025-04-25T09:19:35Z,rtx3090,10
2025-04-25T09:19:35Z,rx6700,15
2025-04-25T09:20:33Z,rtx3060,1
2025-04-25T09:20:33Z,rtx3070,1
2025-04-25T09:20:33Z,rtx3080,1
2025-04-25T09:20:33Z,rtx3090,4
2025-04-25T09:20:34Z,rx6700,2
2025-04-25T09:21:32Z,rtx3060,20
2025-04-25T09:21:32Z,rtx3070,6
2025-04-25T09:21:32Z,rtx3080,6
2025-04-25T09:21:32Z,rtx3090,5
2025-04-25T09:21:32Z,rx6700,17
2025-04-25T09:22:30Z,rtx3060,15
2025-04-25T09:22:30Z,rtx3070,15
2025-04-25T09:22:30Z,rtx3080,15
2025-04-25T09:22:30Z,rtx3090,11
2025-04-25T09:22:30Z,rx6700,1
2025-04-25T09:23:29Z,rtx3060,16
2025-04-25T09:23:29Z,rtx3070,20
2025-04-25T09:23:29Z,rtx3080,20
2025-04-25T09:23:29Z,rtx3090,0
2025-04-25T09:23:29Z,rx6700,6
2025-04-25T09:24:27Z,rtx3060,0
2025-04-25T09:24:27Z,rtx3070,2
2025-04-25T09:24:27Z,rtx3080,2
2025-04-25T09:24:27Z,rtx3090,12
2025-04-25T09:24:27Z,rx6700,1
2025-04-25T09:25:25Z,rtx3060,15
2025-04-25T09:25:25Z,rtx3070,0
2025-04-25T09:25:25Z,rtx3080,0
2025-04-25T09:25:25Z,rtx3090,4
2025-04-25T09:25:25Z,rx6700,14
2025-04-25T09:26:23Z,rtx3060,16
2025-04-25T09:26:23Z,rtx3070,10
2025-04-25T09:26:23Z,rtx3080,10
2025-04-25T09:26:23Z,rtx3090,11
2025-04-25T09:26:23Z,rx6700,6
2025-04-25T09:27:21Z,rtx3060,6
2025-04-25T09:27:21Z,rtx3070,8
2025-04-25T09:27:21Z,rtx3080,8
2025-04-25T09:27:21Z,rtx3090,4
2025-04-25T09:27:21Z,rx6700,17
2025-04-25T09:28:19Z,rtx3060,15
2025-04-25T09:28:19Z,rtx3070,6
